DATE,SCHOOL,LATLON,DEATHS
9/13/2017,"Freeman High, Rockford, WA","47.52017407162433, -117.19619055430817",1
11/14/2017,"Rancho Tehama Ele. Rancho Tehama Reserve, CA","40.02400388710065, -122.39357448603238",6
12/7/2017,"Aztec High, Aztec NM","36.82095909424459, -107.99058363143563",3
1/20/2018,"Wake Forest University, Winston-Salem NC","36.13573046633957, -80.27916361611454",1
1/23/2018,"Marshall County High, Marshall County, KY","36.91297453579036, -88.33285320259648",2
2/14/2018,"Marjory Stoneman Douglas High, Parkland, FL","26.304546248423563, -80.26759213174725",17
2/24/2018,"Savannah State University, Savannah, GA","32.03064089014767, -81.06103871626594",1
3/2/2018,"Central Michigan University, Mount Pleasant, MI","43.58467135130784, -84.77650147824437",2
3/7/2018,"Huffman High, Birmingham, AL","33.611515638836885, -86.68321326037659",1
3/20/2018,"Great Mills High, Great Mills, MD","38.24767140253809, -76.4875140620748",2
5/18/2018,"Santa Fe High, Santa Fe, TX","29.39295581958109, -95.14202558933754",10
5/18/2018,"Mount Zion High, Jonesboro, GA","33.554899322653284, -84.31057738736207",1
8/4/2018,"Edgewood High, Edgewood, MD","39.422441979430545, -76.28602212949228",1
9/5/2018,"Providence Career and Technical Academy, Providence, RI","41.8167586595033, -71.42187481776452",1
9/11/2018,"Canyon Springs High, N. Las Vegas, NV","36.23352336899075, -115.13603590076711",1
10/29/2018,"David W. Butler High, Matthews, NC","35.120579596776004, -80.69008043149226",1
12/13/2018,"Dennis Intermediate School, Richmond, IN","39.83196990943329, -84.91113006862616",1
1/7/2019,"Central Elementary School, Belmont, CA","37.52435378652262, -122.2824967755917",1
1/11/2019,"Cascade Middle School, Eugene OR","44.07885724978946, -123.16684850233293",1
2/12/2019,"Central Academy of Excellence, Kansas City, MO","39.06697955906752, -94.54174400252133",1
2/17/2019,"Eaglecrest High, Arapahoe, CO","39.623961224292735, -104.73505769325627",1
4/30/2019,"U of NC at Charlotte, Charlotte, NC","35.307346787509594, -80.73515327381405",2
5/4/2019,"U of OR, Eugene, OR","44.04753405815047, -123.07226947435605",1
5/7/2019,"STEM School Highlands Ranch, Highlands Ranch, CO","39.55606419441203, -104.99739678953739",1
9/6/2019,"Jeannette High, Jeannette, PA","40.31477486440195, -79.60864325777045",1
10/13/2019,"Tennessee State University, Nashville, TN","36.16861279437073, -86.82577077193321",1
11/13/2019,"Esteban Torres High, LA, CA","34.04220154631855, -118.17536036962476",1
11/14/2019,"Saugus High, Santa Clarita, CA","34.44244753301766, -118.51755740453044",3
11/15/2019,"Pleasantville High, Pleasantville, NJ","39.406377024044474, -74.52757116018124",1
11/23/2019,"Searles Elementary School, Union City, CA","37.59580728051827, -122.02711952399976",2
11/26/2019,"Sarah J. Anderson Ele. Salmon Creek, WA","45.69566815513741, -122.64898678877643",2
12/19/2019,"Lely High, Naples, FL","26.088765526719076, -81.71680036058866",1
1/11/2020,"South Oak Cliff High, Dallas TX","32.699861806191976, -96.816765346913",1
1/14/2020,"Bellaire High, Bellaire, TX","29.691729294353546, -95.46799551585352",1
2/3/2020,"Texas A&M University-Commerce, Commerce, TX","33.24093368038346, -95.91044708922419",2
9/16/2020,"Sonora High, Sonora, CA","37.99147060905257, -120.38600717372324",1
2/26/2021,"George Washington Carver High, New Orleans, LA","29.994586604948505, -90.0370342604846",1
3/1/2021,"Watson Chapel Junior High, Pine Bluff, AR","34.19008301805146, -92.06548534686644",1
4/12/2021,"Astin-East High, Knoxville, TN","35.99007788381332, -83.88729397379149",1
4/27/2021,"Smyrna Middle School, Smyrna, DE","39.302821029373064, -75.62393800251293",1
8/13/2021,"Washington Middle School, Albuquerque, NM","35.08649102759861, -106.66188954498523",1
8/27/2021,"Academy Park High, Sharon Hill, PA","39.90825460352124, -75.26802127550734",1
9/1/2021,"Mount Tabor High, Winston-Salem, NC","36.127041622949086, -80.31414664680324",1
10/13/2021,"Grambling State University, Grambling, LA","32.520941576391515, -92.71893903157425",1
11/30/2021,"Oxford High, Oxford Township, MI","42.83842069320827, -83.26131321772547",4
11/30/2021,"Humboldt High, Humboldt, TN","35.84179384817791, -88.90664407302508",1
12/6/2021,"Wilmington Park Ele. Wilmington, CA","33.786331103863866, -118.24632262174792",1
